"country","adult_anemia_2000","adult_anemia_2001","adult_anemia_2002","adult_anemia_2003","adult_anemia_2004","adult_anemia_2005","adult_anemia_2006","adult_anemia_2007","adult_anemia_2008","adult_anemia_2009","adult_anemia_2010","adult_anemia_2011","adult_anemia_2012","adult_anemia_2013","adult_anemia_2014","adult_anemia_2015","adult_anemia_2016","adult_anemia_2017","adult_anemia_2018","adult_blood_pressure_2000","adult_blood_pressure_2001","adult_blood_pressure_2002","adult_blood_pressure_2003","adult_blood_pressure_2004","adult_blood_pressure_2005","adult_blood_pressure_2006","adult_blood_pressure_2007","adult_blood_pressure_2008","adult_blood_pressure_2009","adult_blood_pressure_2010","adult_blood_pressure_2011","adult_blood_pressure_2012","adult_blood_pressure_2013","adult_blood_pressure_2014","adult_blood_pressure_2015","adult_diabetes_2000","adult_diabetes_2001","adult_diabetes_2002","adult_diabetes_2003","adult_diabetes_2004","adult_diabetes_2005","adult_diabetes_2006","adult_diabetes_2007","adult_diabetes_2008","adult_diabetes_2009","adult_diabetes_2010","adult_diabetes_2011","adult_diabetes_2012","adult_diabetes_2013","adult_diabetes_2014","adult_obesity_2000","adult_obesity_2001","adult_obesity_2002","adult_obesity_2003","adult_obesity_2004","adult_obesity_2005","adult_obesity_2006","adult_obesity_2007","adult_obesity_2008","adult_obesity_2009","adult_obesity_2010","adult_obesity_2011","adult_obesity_2012","adult_obesity_2013","adult_obesity_2014","adult_obesity_2015","adult_obesity_2016","adult_overweight_2000","adult_overweight_2001","adult_overweight_2002","adult_overweight_2003","adult_overweight_2004","adult_overweight_2005","adult_overweight_2006","adult_overweight_2007","adult_overweight_2008","adult_overweight_2009","adult_overweight_2010","adult_overweight_2011","adult_overweight_2012","adult_overweight_2013","adult_overweight_2014","adult_overweight_2015","adult_overweight_2016","adult_sodium_2010","adult_sodium_2017","basic_sanitation_2000","basic_sanitation_2001","basic_sanitation_2002","basic_sanitation_2003","basic_sanitation_2004","basic_sanitation_2005","basic_sanitation_2006","basic_sanitation_2007","basic_sanitation_2008","basic_sanitation_2009","basic_sanitation_2010","basic_sanitation_2011","basic_sanitation_2012","basic_sanitation_2013","basic_sanitation_2014","basic_sanitation_2015","basic_sanitation_2016","basic_sanitation_2017","basic_water_2000","basic_water_2001","basic_water_2002","basic_water_2003","basic_water_2004","basic_water_2005","basic_water_2006","basic_water_2007","basic_water_2008","basic_water_2009","basic_water_2010","basic_water_2011","basic_water_2012","basic_water_2013","basic_water_2014","basic_water_2015","basic_water_2016","basic_water_2017","community_health_workers_2000","community_health_workers_2001","community_health_workers_2003","community_health_workers_2004","community_health_workers_2005","community_health_workers_2006","community_health_workers_2007","community_health_workers_2008","community_health_workers_2009","community_health_workers_2010","community_health_workers_2011","community_health_workers_2012","community_health_workers_2013","community_health_workers_2014","community_health_workers_2015","community_health_workers_2016","early_childbearing_prev_2001","early_childbearing_prev_2004","early_childbearing_prev_2005","early_childbearing_prev_2006","early_childbearing_prev_2007","early_childbearing_prev_2008","early_childbearing_prev_2009","early_childbearing_prev_2010","early_childbearing_prev_2011","early_childbearing_prev_2012","early_childbearing_prev_2013","early_childbearing_prev_2014","early_childbearing_prev_2015","early_childbearing_prev_2016","female_secondary_enroll_net_2000","female_secondary_enroll_net_2001","female_secondary_enroll_net_2002","female_secondary_enroll_net_2003","female_secondary_enroll_net_2004","female_secondary_enroll_net_2005","female_secondary_enroll_net_2006","female_secondary_enroll_net_2007","female_secondary_enroll_net_2008","female_secondary_enroll_net_2009","female_secondary_enroll_net_2010","female_secondary_enroll_net_2011","female_secondary_enroll_net_2012","female_secondary_enroll_net_2013","female_secondary_enroll_net_2014","female_secondary_enroll_net_2015","female_secondary_enroll_net_2016","female_secondary_enroll_net_2017","female_secondary_enroll_net_2018","fruit_veg_availability_2000","fruit_veg_availability_2001","fruit_veg_availability_2002","fruit_veg_availability_2003","fruit_veg_availability_2004","fruit_veg_availability_2005","fruit_veg_availability_2006","fruit_veg_availability_2007","fruit_veg_availability_2008","fruit_veg_availability_2009","fruit_veg_availability_2010","fruit_veg_availability_2011","fruit_veg_availability_2012","fruit_veg_availability_2013","government_revenue_2015","government_revenue_2016","government_revenue_2017","government_revenue_2018","government_revenue_2019","government_revenue_2020","government_revenue_2021","government_revenue_2022","government_revenue_2023","government_revenue_2024","government_revenue_2025","limited_sanitation_2000","limited_sanitation_2001","limited_sanitation_2002","limited_sanitation_2003","limited_sanitation_2004","limited_sanitation_2005","limited_sanitation_2006","limited_sanitation_2007","limited_sanitation_2008","limited_sanitation_2009","limited_sanitation_2010","limited_sanitation_2011","limited_sanitation_2012","limited_sanitation_2013","limited_sanitation_2014","limited_sanitation_2015","limited_sanitation_2016","limited_sanitation_2017","limited_water_2000","limited_water_2001","limited_water_2002","limited_water_2003","limited_water_2004","limited_water_2005","limited_water_2006","limited_water_2007","limited_water_2008","limited_water_2009","limited_water_2010","limited_water_2011","limited_water_2012","limited_water_2013","limited_water_2014","limited_water_2015","limited_water_2016","limited_water_2017","nurses_and_midwives_2001","nurses_and_midwives_2003","nurses_and_midwives_2004","nurses_and_midwives_2005","nurses_and_midwives_2006","nurses_and_midwives_2009","nurses_and_midwives_2010","nurses_and_midwives_2011","nurses_and_midwives_2012","nurses_and_midwives_2013","nurses_and_midwives_2014","nurses_and_midwives_2015","nurses_and_midwives_2016","open_defecation_2000","open_defecation_2001","open_defecation_2002","open_defecation_2003","open_defecation_2004","open_defecation_2005","open_defecation_2006","open_defecation_2007","open_defecation_2008","open_defecation_2009","open_defecation_2010","open_defecation_2011","open_defecation_2012","open_defecation_2013","open_defecation_2014","open_defecation_2015","open_defecation_2016","open_defecation_2017","physicians_2001","physicians_2003","physicians_2004","physicians_2005","physicians_2006","physicians_2007","physicians_2008","physicians_2009","physicians_2010","physicians_2011","physicians_2012","physicians_2013","physicians_2014","physicians_2015","physicians_2016","safely_managed_sanitation_2000","safely_managed_sanitation_2001","safely_managed_sanitation_2002","safely_managed_sanitation_2003","safely_managed_sanitation_2004","safely_managed_sanitation_2005","safely_managed_sanitation_2006","safely_managed_sanitation_2007","safely_managed_sanitation_2008","safely_managed_sanitation_2009","safely_managed_sanitation_2010","safely_managed_sanitation_2011","safely_managed_sanitation_2012","safely_managed_sanitation_2013","safely_managed_sanitation_2014","safely_managed_sanitation_2015","safely_managed_sanitation_2016","safely_managed_sanitation_2017","safely_managed_water_2000","safely_managed_water_2001","safely_managed_water_2002","safely_managed_water_2003","safely_managed_water_2004","safely_managed_water_2005","safely_managed_water_2006","safely_managed_water_2007","safely_managed_water_2008","safely_managed_water_2009","safely_managed_water_2010","safely_managed_water_2011","safely_managed_water_2012","safely_managed_water_2013","safely_managed_water_2014","safely_managed_water_2015","safely_managed_water_2016","safely_managed_water_2017","surface_water_2000","surface_water_2001","surface_water_2002","surface_water_2003","surface_water_2004","surface_water_2005","surface_water_2006","surface_water_2007","surface_water_2008","surface_water_2009","surface_water_2010","surface_water_2011","surface_water_2012","surface_water_2013","surface_water_2014","surface_water_2015","surface_water_2016","surface_water_2017","undernourishment_prev_2001","undernourishment_prev_2005","undernourishment_prev_2009","undernourishment_prev_2013","undernourishment_prev_2017","unimproved_sanitation_2000","unimproved_sanitation_2001","unimproved_sanitation_2002","unimproved_sanitation_2003","unimproved_sanitation_2004","unimproved_sanitation_2005","unimproved_sanitation_2006","unimproved_sanitation_2007","unimproved_sanitation_2008","unimproved_sanitation_2009","unimproved_sanitation_2010","unimproved_sanitation_2011","unimproved_sanitation_2012","unimproved_sanitation_2013","unimproved_sanitation_2014","unimproved_sanitation_2015","unimproved_sanitation_2016","unimproved_sanitation_2017","unimproved_water_2000","unimproved_water_2001","unimproved_water_2002","unimproved_water_2003","unimproved_water_2004","unimproved_water_2005","unimproved_water_2006","unimproved_water_2007","unimproved_water_2008","unimproved_water_2009","unimproved_water_2010","unimproved_water_2011","unimproved_water_2012","unimproved_water_2013","unimproved_water_2014","unimproved_water_2015","unimproved_water_2016","unimproved_water_2017","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","meningitis_deaths","kidney_disease_deaths","parkinson_disease_deaths","diabetes_deaths","protein_energy_malnutrition_deaths","liver_diseases_deaths","malaria_deaths","respiratory_diseases_deaths","tuberculosis_deaths","diarrheal_diseases_deaths","dementia_deaths","cancers_deaths","hiv_aids_deaths","cardiovascular_diseases_deaths","hepatitis_deaths","lower_respiratory_infections_deaths","digestive_diseases_deaths","nutritional_deficiencies_deaths","economic_rating","macroeconomic_rating"
"Afghanistan",37.9333333333333,37.1666666666667,36.5333333333333,36.0333333333333,35.7,35.5333333333333,35.4666666666667,35.5,35.6,35.8333333333333,36.2333333333333,36.7333333333333,37.3666666666667,38.0333333333333,38.8333333333333,39.8333333333333,40.8666666666667,NA,NA,29.01,29.195,29.375,29.53,29.68,29.815,29.93,30.025,30.105,30.19,30.26,30.33,30.39,30.45,30.51,30.56,8.32,8.52,8.755,9,9.245,9.49,9.74,9.99,10.245,10.52,10.785,11.05,11.34,11.625,11.91,2.28,2.415,2.56,2.71,2.86,3.025,3.195,3.375,3.56,3.76,3.965,4.18,4.415,4.65,4.9,5.16,5.435,14.15,14.605,15.07,15.555,16.04,16.54,17.06,17.585,18.125,18.675,19.245,19.82,20.41,21.01,21.62,22.245,22.885,3.38333333333333,3.44666666666667,23.52,23.52,24.65,25.77,26.9,28.04,29.18,30.41,31.65,32.91,34.18,35.46,36.75,38.06,39.37,40.71,42.05,43.42,27.77,27.8,29.9,32.01,34.13,36.27,38.41,40.84,43.32,45.82,48.36,50.93,53.53,56.17,58.84,61.55,64.29,67.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,14.83,NA,NA,NA,NA,NA,33.94,34.25,34.58,31.22,36.15,NA,148.16,169.22,144.32,152.59,131.37,161.16,163.08,154.19,142.22,161.04,163.75,153.16,175.67,172.67,0.96,1.055,1.235,1.385,1.345,1.425,1.6,1.83,2.105,2.305,2.37,5.85,5.86,6.17,6.48,6.8,7.12,7.45,7.7,7.94,8.18,8.4,8.63,8.84,9.05,9.26,9.45,9.64,9.82,3.58,3.58,3.87,4.15,4.44,4.72,5.01,5,4.96,4.89,4.78,4.65,4.48,4.28,4.05,3.79,3.5,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,26.02,26,25.17,24.34,23.5,22.64,21.79,20.94,20.09,19.24,18.4,17.55,16.71,15.86,15.02,14.18,13.45,12.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.25,25.23,24.34,23.46,22.56,21.65,20.75,19.85,18.94,18.04,17.14,16.24,15.35,14.45,13.56,12.66,11.77,10.88,46.4,33.2,22.9,25,29.8,44.61,44.62,44.02,43.42,42.81,42.2,41.58,40.95,40.32,39.67,39.02,38.37,37.7,37.03,36.35,35.66,34.85,34.02,43.4,43.39,41.89,40.39,38.88,37.36,35.84,34.31,32.78,31.25,29.72,28.18,26.64,25.1,23.55,22,20.44,18.88,-21.8489208633094,-4.00359712230216,-10.9460431654676,-19.4388489208633,-20.341726618705,8.33453237410072,6642.95826560784,3833.07310481778,448.067500914218,5798.10937176445,1372.89757072141,2184.9444041853,1190.35185324401,6815.36938897771,3649.97077393876,6151.75171989512,2839.24265914085,16272.5415191916,271.336066040756,55101.3105688561,933.377917149041,21472.5375690469,5076.66286681243,1443.99012841219,3,3.5
"Angola",53.0333333333333,52.4666666666667,51.9666666666667,51.4666666666667,51.0333333333333,50.6333333333333,50.2333333333333,49.8333333333333,49.4333333333333,49.0666666666667,48.7,48.5333333333333,48.3333333333333,48.2666666666667,48.2333333333333,48.3333333333333,48.5666666666667,NA,NA,30.615,30.625,30.64,30.64,30.625,30.605,30.57,30.52,30.45,30.365,30.26,30.15,30.025,29.89,29.745,29.59,5.24,5.42,5.61,5.805,6.01,6.22,6.44,6.675,6.9,7.125,7.335,7.54,7.75,7.96,8.175,3.52,3.725,3.935,4.155,4.39,4.635,4.89,5.15,5.43,5.715,6.015,6.32,6.645,6.975,7.325,7.685,8.06,17.455,17.98,18.515,19.065,19.625,20.195,20.785,21.375,21.985,22.6,23.225,23.86,24.505,25.165,25.83,26.505,27.185,3.07333333333333,3.16333333333333,27.56,28.99,30.42,31.86,33.29,34.72,35.99,37.26,38.53,39.79,41.06,42.33,43.59,44.85,46.12,47.37,48.63,49.88,41.14,42.25,43.38,44.36,45.35,46.34,47.15,47.96,48.77,49.58,50.38,51.17,51.97,52.76,53.54,54.32,55.08,55.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,NA,NA,NA,8.56,9.04,10.07,NA,NA,NA,NA,NA,NA,NA,NA,132.29,139.01,159.86,179.81,198.95,212.5,226.94,232.9,310.71,401.33,408.53,412.78,395.99,432.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.29,11.85,12.41,12.98,13.55,14.12,14.62,15.12,15.62,16.12,16.63,17.13,17.64,18.15,18.66,19.18,19.69,20.2,21.09,20.56,20.01,19.41,18.79,18.16,17.5,16.83,16.16,15.49,14.81,14.13,13.44,12.75,12.06,11.37,10.67,9.98,NA,NA,NA,NA,NA,1.44,NA,NA,NA,NA,NA,NA,NA,42.87,41.41,39.95,38.49,37.01,35.53,34.25,32.96,31.67,30.37,29.07,27.77,26.46,25.15,23.84,22.53,21.23,19.92,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,28.08,27.47,26.56,25.64,24.72,23.95,23.18,22.4,21.63,20.85,20.07,19.29,18.51,17.72,16.94,16.16,15.39,68.9,54.8,42.5,31.2,25,18.28,17.74,17.21,16.68,16.15,15.62,15.14,14.66,14.19,13.71,13.24,12.77,12.3,11.84,11.38,10.92,10.46,10,9.07,9.11,9.14,9.67,10.22,10.78,11.4,12.03,12.66,13.31,13.97,14.63,15.3,15.98,16.67,17.37,18.08,18.8,-26.0610079575597,-12.1253071253071,-22.241847826087,-41.5076530612245,-11.1389195148842,14.7038043478261,3351.96340044239,2739.1784907647,229.183146710026,3418.76684086656,4719.101789138,5134.18314042392,8235.33226702915,3680.95550423315,11597.7690795189,17876.8367082112,1567.16005319277,11620.4600491477,14460.271530462,21103.4767189741,413.642496529636,14947.0361963858,8061.30717697205,4805.54732737663,NA,NA
"Antigua and Barbuda",27.8666666666667,27.2666666666667,26.8333333333333,26.4,26,25.6,25.1,24.5666666666667,24.0333333333333,23.5,23,22.7,22.5,22.4333333333333,22.4333333333333,22.6666666666667,23.0333333333333,NA,NA,23.085,23.015,22.94,22.885,22.835,22.79,22.765,22.76,22.775,22.81,22.87,22.955,23.04,23.135,23.25,23.375,7.65,7.85,8.065,8.295,8.535,8.785,9.065,9.35,9.635,9.915,10.2,10.485,10.795,11.12,11.465,12.525,12.86,13.2,13.54,13.885,14.235,14.585,14.945,15.31,15.69,16.075,16.48,16.9,17.34,17.79,18.26,18.76,39.23,39.77,40.295,40.825,41.345,41.865,42.38,42.895,43.415,43.93,44.45,44.99,45.535,46.09,46.66,47.235,47.825,2.87666666666667,2.82666666666667,82.41,82.8,83.19,83.59,83.98,84.37,84.76,85.15,85.54,85.94,86.33,86.72,87.11,87.5,87.5,87.5,87.5,87.5,98.25,98.14,98.02,97.9,97.79,97.67,97.55,97.44,97.32,97.21,97.09,96.97,96.86,96.74,96.74,96.74,96.74,96.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.39,NA,NA,NA,NA,NA,NA,NA,NA,80.08,79.76,NA,86.76,NA,74.37,75.81,NA,72.85,NA,605.67,536.32,522.94,529.15,544.69,783.98,685.79,757.69,679.03,674.22,625.77,666.75,586.24,635.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93,3.95,3.97,3.99,4.01,4.03,4.04,4.06,4.08,4.1,4.12,4.14,4.16,4.17,4.17,4.17,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,1.26,1.18,1.1,1.01,0.93,0.85,0.76,0.68,0.6,0.51,0.43,0.35,0.26,0.26,0.26,0.26,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,NA,NA,NA,NA,NA,12.31,11.99,11.66,11.33,11,10.68,10.35,10.02,9.69,9.37,9.04,8.71,8.38,8.06,8.06,8.06,8.06,8.06,1.65,1.77,1.88,2,2.12,2.23,2.35,2.47,2.58,2.7,2.82,2.93,3.05,3.17,3.17,3.17,3.17,3.17,-31.1086956521739,-19.5923913043478,-17.4592391304348,-46.34034416826,-37.877133105802,13.7237569060773,0.936342272590925,25.7483416648811,4.65801607172726,44.1803959493726,2.23725528918244,10.917125767744,0,11.6500810615226,0.36339743157638,1.38674779997275,26.4343852687748,116.606036812905,8.02986716970845,183.005191729827,0.181448691533607,32.1937646747668,20.2239564600466,2.30236921516307,NA,NA
"Argentina",21.6,21.1333333333333,20.7666666666667,20.4333333333333,20.2,19.9,19.6666666666667,19.5,19.3,19.2333333333333,19.2333333333333,19.3333333333333,19.5333333333333,19.8666666666667,20.3333333333333,20.9333333333333,21.7666666666667,NA,NA,28.68,28.22,27.76,27.29,26.825,26.37,25.935,25.515,25.11,24.72,24.35,23.995,23.64,23.29,22.95,22.615,8.205,8.27,8.325,8.39,8.47,8.56,8.665,8.77,8.885,9.005,9.13,9.26,9.395,9.535,9.67,20.615,21.05,21.49,21.93,22.38,22.835,23.295,23.76,24.23,24.705,25.185,25.67,26.155,26.65,27.145,27.645,28.155,54.365,54.91,55.455,56,56.535,57.075,57.61,58.14,58.67,59.195,59.715,60.23,60.74,61.25,61.755,62.255,62.75,3.90333333333333,3.77666666666667,86.98,87.54,88.11,88.67,89.24,89.8,90.37,90.93,91.49,92.06,92.62,93.18,93.74,94.17,94.2,94.23,94.26,NA,96.21,96.46,96.71,96.94,97.17,97.4,97.62,97.84,98.06,98.26,98.47,98.67,98.86,98.93,99,99.07,99.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,81.36,81.89,81.73,81.81,82.55,82.59,83.2,83.63,85.13,86.94,87.85,89.27,90.84,91.19,90.92,90.94,91.74,NA,NA,496.73,516.82,429.36,418.49,414.89,403.6,390.59,365.47,390.33,386.28,386.87,443.17,420.57,398.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63,3.56,3.49,3.43,3.36,3.29,3.22,3.15,3.08,3,2.93,2.85,2.78,2.7,2.61,2.52,2.52,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,1.64,1.71,1.79,1.86,1.94,2.02,2.1,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.08,1.02,0.96,0.9,0.85,0.79,0.74,0.68,0.63,0.59,0.54,0.49,0.38,0.37,0.37,0.36,NA,4.1,4.7,4.1,3.5,4.6,9.4,8.9,8.4,7.9,7.4,6.91,4.85,4.29,3.72,3.15,2.59,2.03,1.46,1.04,1.02,3.25,3.22,NA,2.64,2.46,2.27,2.1,1.92,1.75,1.59,1.42,1.26,1.1,0.95,0.79,0.65,0.69,0.63,0.56,0.56,NA,-53.6755017342663,-19.1626238469423,-64.117903039369,-51.5701401984094,-19.797612504052,15.2664170576937,494.956647222546,10737.4598541497,2880.83336496486,9164.6629124129,968.182282636668,7284.20635405882,0,18863.2266264437,683.953054870672,658.086330005527,18564.3932373763,72959.412062954,1726.55104754057,104685.644557337,175.422648606412,31279.2550819878,14825.5394236963,1060.85063720119,NA,NA
"Australia",13.5333333333333,13.1666666666667,12.9,12.7,12.5333333333333,12.4,12.2,12.0666666666667,11.9666666666667,11.8333333333333,11.7666666666667,11.7333333333333,11.7333333333333,11.8333333333333,11.9333333333333,12.2,12.6333333333333,NA,NA,22.68,22.15,21.61,21.07,20.535,20.005,19.475,18.96,18.45,17.95,17.455,16.975,16.51,16.045,15.6,15.17,5.835,5.865,5.895,5.915,5.925,5.93,5.925,5.925,5.92,5.91,5.91,5.9,5.895,5.895,5.895,20.175,20.725,21.275,21.825,22.375,22.92,23.46,24,24.545,25.085,25.625,26.175,26.715,27.275,27.83,28.4,28.97,56.385,56.98,57.56,58.13,58.685,59.225,59.745,60.255,60.76,61.245,61.725,62.2,62.66,63.125,63.58,64.04,64.5,3.31333333333333,3.35,35.78,35.78,35.78,35.78,35.78,34.9,34.02,33.14,32.26,31.38,30.5,29.63,28.75,27.87,26.99,26.11,25.23,24.35,99.71,99.71,99.71,99.73,99.76,99.78,99.8,99.82,99.84,99.86,99.88,99.91,99.93,99.95,99.96,99.97,99.97,99.97,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.22,93.65,93.09,NA,517.64,552.3,520.37,530.87,552.39,564.07,543.11,561.33,558.62,536.33,542.12,522.68,524.33,523.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,64.21,64.21,64.21,64.21,64.21,65.09,65.97,66.85,67.73,68.61,69.49,70.37,71.24,72.12,73,73.88,74.76,75.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.02,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.23,0.22,0.21,0.2,0.18,0.17,0.16,0.16,0.14,0.12,0.09,0.07,0.05,0.04,0.03,0.03,0.03,-17.5241911173633,-0.345755088928478,-16.4292929292929,-30.2176164083502,-14.3831219317147,9.59403341288783,55.5690178070908,4343.54567719279,2241.74368703842,3609.3636902853,92.7996135458831,2142.63305022292,0,10462.127842011,84.421393402843,185.321386258715,16580.2801551921,48506.0318674532,74.4688418360667,50031.9114741293,103.499020425349,4323.79719524191,5951.5745559702,118.094160347046,NA,NA
"Austria",17.7,17.4,17.2333333333333,17.1,17,16.9666666666667,16.9,16.8666666666667,16.8333333333333,16.8666666666667,16.9333333333333,17.1666666666667,17.4,17.8,18.3,18.9333333333333,19.6333333333333,NA,NA,28.245,27.8,27.345,26.875,26.365,25.85,25.325,24.795,24.265,23.75,23.265,22.815,22.335,21.88,21.425,20.985,4.335,4.365,4.385,4.4,4.41,4.41,4.4,4.39,4.375,4.35,4.34,4.33,4.32,4.315,4.315,13.92,14.275,14.635,15,15.365,15.73,16.1,16.475,16.85,17.235,17.62,18.01,18.405,18.815,19.23,19.65,20.09,47.535,48.005,48.465,48.915,49.36,49.795,50.225,50.645,51.06,51.47,51.875,52.28,52.68,53.085,53.485,53.89,54.295,4.03,3.94,3.06,3.08,3.11,3.13,3.15,3.17,3.19,3.21,3.24,3.26,3.28,3.3,3.3,3.28,3.27,3.26,3.24,3.23,2.29,2.2,2.12,2.04,1.95,1.87,1.79,1.71,1.62,1.54,1.46,1.37,1.29,1.21,1.13,1.09,1.09,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.11,NA,87.82,87.88,87.85,88.7,89.18,87.88,87.91,87.67,86.87,86.67,86.18,86.3,86.53,86.85,87.53,88.13,NA,573.32,614.46,580.03,634.48,666.28,648.92,654.66,672.78,708.22,634.91,647.69,726.39,713,706.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,96.94,96.92,96.89,96.87,96.85,96.82,96.8,96.78,96.75,96.73,96.71,96.68,96.68,96.7,96.71,96.72,96.73,96.75,97.71,97.8,97.88,97.96,98.05,98.13,98.21,98.29,98.38,98.46,98.54,98.63,98.71,98.79,98.87,98.91,98.91,98.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.1552255533763,-9.56786230455919,13.6892069519498,-23.433693419047,-27.5846934655978,7.30047408860553,32.3485414246743,2806.55943470493,984.989228824112,2057.6059622478,1.47699041642541,1847.51633915284,0,3377.01988238109,52.2200758658106,102.04183930533,7344.14363724332,21565.792357913,39.3539632965837,31086.5406461894,5.56152285190733,937.949711309039,3182.00143036984,8.6330673581519,NA,NA
