"country","type","total"
"Andorra","diabetes_deaths",5.26997204855549
"Angola","meningitis_deaths",3231.56961467339
"Angola","lower_respiratory_infections_deaths",14508.4049918632
"Angola","protein_energy_malnutrition_deaths",4432.2415593544
"Angola","cardiovascular_diseases_deaths",21784.661825557
"Angola","dementia_deaths",1649.393456572
"Angola","kidney_disease_deaths",2809.24281135893
"Angola","respiratory_diseases_deaths",3750.62724349675
"Angola","liver_diseases_deaths",5294.23319193706
"Angola","digestive_diseases_deaths",8274.16555934565
"Angola","hepatitis_deaths",411.516415391111
"Angola","cancers_deaths",12039.8342803576
"Angola","parkinson_disease_deaths",240.171414725145
"Angola","malaria_deaths",8431.05700634749
"Angola","hiv_aids_deaths",14584.7024252742
"Angola","tuberculosis_deaths",11409.4175284505
"Angola","diarrheal_diseases_deaths",17390.3008750371
"Angola","nutritional_deficiencies_deaths",4515.79689627626
"Angola","diabetes_deaths",3558.14703661486
"Antigua and Barbuda","meningitis_deaths",0.949083140540924
"Antigua and Barbuda","lower_respiratory_infections_deaths",32.5438288133049
"Antigua and Barbuda","protein_energy_malnutrition_deaths",2.23263681331911
"Antigua and Barbuda","cardiovascular_diseases_deaths",186.777205854054
"Antigua and Barbuda","dementia_deaths",26.9206975264496
"Antigua and Barbuda","kidney_disease_deaths",25.9884097913576
"Antigua and Barbuda","respiratory_diseases_deaths",11.78372487759
"Antigua and Barbuda","liver_diseases_deaths",11.1696935388201
"Antigua and Barbuda","digestive_diseases_deaths",20.66403485842
"Antigua and Barbuda","hepatitis_deaths",0.191596082446107
"Antigua and Barbuda","cancers_deaths",119.539032428271
"Antigua and Barbuda","parkinson_disease_deaths",4.74735095198643
"Antigua and Barbuda","malaria_deaths",0
"Antigua and Barbuda","hiv_aids_deaths",7.50900668375594
"Antigua and Barbuda","tuberculosis_deaths",0.367873080600668
"Antigua and Barbuda","diarrheal_diseases_deaths",1.40323103015611
"Antigua and Barbuda","nutritional_deficiencies_deaths",2.29838511847117
"Antigua and Barbuda","diabetes_deaths",45.4825034201821
"Argentina","meningitis_deaths",494.94837896157
"Argentina","lower_respiratory_infections_deaths",31058.1422484422
"Argentina","protein_energy_malnutrition_deaths",983.607619419806
"Argentina","cardiovascular_diseases_deaths",105776.740521974
"Argentina","dementia_deaths",18616.8164895787
"Argentina","kidney_disease_deaths",10834.3001855343
"Argentina","respiratory_diseases_deaths",18992.4838614743
"Argentina","liver_diseases_deaths",7346.31994377348
"Argentina","digestive_diseases_deaths",14905.8379106266
"Argentina","hepatitis_deaths",178.405093468296
"Argentina","cancers_deaths",74065.8966590961
"Argentina","parkinson_disease_deaths",2917.5138626581
"Argentina","malaria_deaths",0
"Argentina","hiv_aids_deaths",1719.2178430565
"Argentina","tuberculosis_deaths",679.348497313921
"Argentina","diarrheal_diseases_deaths",651.446992025248
"Argentina","nutritional_deficiencies_deaths",1075.35419941632
"Argentina","diabetes_deaths",9345.10943171048
"Armenia","meningitis_deaths",8.61848346769002
